Formula,Formation Energy (eV/fu),Formation Energy (eV/atom),DFT Energy (eV/atom),DFT Energy (eV/fu),DFT Energy (eV),k-points,Cs,Sn,Br,H,O,Cl,Ti,I
SnCl2,-3.3810519875000002,-1.1270173291666667,-4.5260558225,-13.5781674675,-54.31266987,3x2x2,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
SnCl4,-5.501950434999999,-1.1003900869999996,-4.202014689,-21.010073445,-84.04029378,2x2x1,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
SnI4,-2.011203487500003,-0.40224069750000063,-3.2823721355,-16.4118606775,-131.29488542,3x3x3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
SnO2,-5.562294744999998,-1.8540982483333328,-8.162891905,-24.488675715,-48.97735143,4x4x6,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
Ti2O3,-15.433091303333331,-3.086618260666666,-11.35938614,-56.7969307,-113.5938614,5x5x5,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Ti3O5,-25.014935754999996,-3.1268669693749995,-11.321345388125,-90.570763105,-181.14152621,6x6x3,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0
TiBr3,-5.346215021666666,-1.3365537554166664,-5.7537162875,-23.01486515,-46.0297303,2x2x2,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
TiBr4,-6.275900536666667,-1.2551801073333333,-5.290039146,-26.45019573,-105.80078292,2x1x1,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
TiCl3,-7.285464656666667,-1.8213661641666667,-6.35092272125,-25.403690885,-50.80738177,4x4x5,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
TiCl4,-8.627428276666668,-1.7254856553333338,-5.880231654,-29.40115827,-117.60463308,2x1x1,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
TiH2,-1.818687406666669,-0.6062291355555564,-6.59396099,-19.78188297,-19.78188297,5x5x5,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
TiI3,-3.655616079166668,-0.913904019791667,-5.235810735625,-20.9432429425,-83.77297177,3x3x2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
TiI4,-3.93920481166667,-0.787840962333334,-4.721093797,-23.605468985,-47.21093797,3x3x4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
TiO2,-9.65153525916667,-3.2171784197222233,-11.281174404166668,-33.8435232125,-135.37409285,6x6x2,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Cs2SnCl6,-15.91741889758621,-1.768602099731801,-4.314860978888889,-38.83374881,-38.83374881,3x3x3,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0
Cs2SnI6,-9.435166387586207,-1.048351820842912,-3.410033063333333,-30.69029757,-30.69029757,3x3x3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
Cs2TiBr6,-15.275320464252871,-1.6972578293614302,-4.72867835111111,-42.55810516,-340.46484128,3x2x1,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Cs2TiBr6,-15.267895254252878,-1.6964328060280975,-4.727853327777778,-42.55067995,-42.55067995,3x3x3,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Cs2TiCl6,-18.804819815502878,-2.0894244239447644,-5.220750745694445,-46.98675671125,-375.89405369,3x2x1,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0
Cs2TiCl6,-18.804058564252873,-2.0893398404725416,-5.220666162222222,-46.98599546,-46.98599546,3x3x3,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0
Cs2TiI6,-11.468192714252876,-1.2742436349169861,-4.22099232,-37.98893088,-303.91144704,3x2x1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
Cs2TiI6,-11.459377794252877,-1.2732641993614306,-4.2200128844444444,-37.98011596,-37.98011596,3x3x3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
Cs3Ti2Cl9,-29.323364459712657,-2.0945260328366184,-5.476580519285714,-76.67212727,-153.34425454,2x2x1,3.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0
CsClO4,-4.119544711293102,-0.686590785215517,-5.9840323670833335,-35.9041942025,-143.61677681,2x2x1,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
CsSn2Br5,-9.292833043793102,-1.1616041304741378,-4.080234244375,-32.641873955,-65.28374791,2x2x3,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
CsSn2Cl5,-11.613319053793099,-1.4516648817241373,-4.463956683125,-35.711653465,-71.42330693,2x2x2,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0
CsSnBr3,-6.638688098793104,-1.3277376197586208,-4.018066186,-20.09033093,-20.09033093,8x8x8,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
CsSnI3,-5.249774406293104,-1.0499548812586208,-3.6640787945,-18.3203939725,-73.28157589,3x2x1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
CsSnI3,-5.161183903793104,-1.0322367807586208,-3.6463606939999997,-18.23180347,-36.46360694,3x3x5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
CsSnI3,-5.151594576293105,-1.030318915258621,-3.6444428285,-18.2222141425,-72.88885657,3x2x2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
CsSnI3,-5.109926653793105,-1.0219853307586209,-3.636109244,-18.18054622,-18.18054622,8x8x8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
H3BrO,-4.0523989,-0.81047978,-5.059080284,-25.29540142,-25.29540142,4x4x4,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
H3ClO,-4.6326153199999975,-0.9265230639999995,-5.205095308,-26.02547654,-26.02547654,4x4x4,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0
H7ClO3,-10.936220049999994,-0.9942018227272722,-5.63566505,-61.99231555,-123.9846311,2x2x2,0.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0
H7ClO7,-10.304044812499987,-0.6869363208333324,-5.962712423499999,-89.4406863525,-715.52549082,1x1x1,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0
H9BrO4,-13.502685612499992,-0.9644775437499994,-5.660038539464286,-79.2405395525,-316.96215821,2x2x1,0.0,0.0,1.0,9.0,4.0,0.0,0.0,0.0
